smiles,cluster_index
O=C1NC(=S)SC1=C/C1=CC(C=C2/SC(=S)NC2=O)=CC=C1,1
CN(N=CC1=CC=C(F)C=C1)P(=O)(N1CC1)N1CC1,1
CN(N=CC1=CC=C(Br)C=C1)P(=O)(N1CC1)N1CC1,1
CN(N=CC1=CC=CC=C1)P(=O)(N1CC1)N1CC1,1
CN(N=C(C)C)P(=O)(N1CC1)N1CC1,1
CC(C)=NN(C1=CC=CC=C1)P(=O)(N1CC1)N1CC1,1
S=P(N1CC1)(N1CC1)N1CC1,1
O=P(N(N=CC1=CC=CC=C1)C1=CC=CC=C1)(N1CC1)N1CC1,1
FC1=CC=C(C=NN(C2=CC=CC=C2)P(=O)(N2CC2)N2CC2)C=C1,1
ClC1=CC=C(C=NN(C2=CC=CC=C2)P(=O)(N2CC2)N2CC2)C=C1,1
O=N(=O)C1=CC=C(C=NN(C2=CC=CC=C2)P(=O)(N2CC2)N2CC2)C=C1,1
O=N(=O)C1=CC=C(C=C1)N(N=CC1=CC=CC=C1)P(=O)(N1CC1)N1CC1,1
FC1=CC=C(C=NNP(=O)(N2CC2)N2CC2)C=C1,1
ClC1=CC=C(C=NNP(=O)(N2CC2)N2CC2)C=C1,1
O=P(NN=CC1=CC=CC=C1)(N1CC1)N1CC1,1
O=N(=O)C1=CC=C(C=NNP(=O)(N2CC2)N2CC2)C=C1,1
NC(=O)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
CC(=O)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
O=C(NC1=CC=CC=C1)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
ClC(Cl)C(=O)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
ClCC(=O)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
FC1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
FC(F)(F)C1=CC(=CC=C1)C(=O)NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
NC1=CC=C(C=C1)C1=NNC(=O)CC1,1
FC1=CC=C(C=C1)C1=NNC(=O)CC1,1
O=CNC1=CC=C(C=C1)C1=NNC(=O)CC1,1
COC1=CC=C(C=N/C2=CC=C(C=C2)C2=NNC(=O)CC2)C=C1,1
[O-][N+](=O)C1=C(C=N/C2=CC=C(C=C2)C2=NNC(=O)CC2)C=CC=C1,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CCCC2=CC1=C(Cl)C(Cl)=CC=C1,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CCCC2=CC1=C(Cl)C=CC=C1,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CCCC2=CC1=CC(=CC=C1)[N+]([O-])=O,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CCCC2=CC1=CC=CS1,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CCC2=CC1=CC(Cl)=C(Cl)C=C1,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CCC2=CC1=CC=CC=C1,1
COC1=CC(C=C2CCC3=C(C(O)=O)C4=C(C=CC=C4)N=C23)=CC(OC)=C1OC,1
COC1=CC(C=C2CCCC3=C2N=C2C=CC=CC2=C3C(O)=O)=CC(OC)=C1OC,1
COC1=C(OC)C=C(C=C2CCCC3=C2N=C2C=CC=CC2=C3C(O)=O)C=C1,1
COC1=CC=C(C=C2CCCC3=C2N=C2C=CC=CC2=C3C(O)=O)C=C1,1
COC1=CC(C=C2CC(CC3=C2N=C2C=CC=CC2=C3C(O)=O)C(C)(C)C)=CC(OC)=C1OC,1
OC(=O)C1=C2C=CC=CC2=NC2=C1CN(CC1=CC=CC=C1)CC2,1
CCN1CCC2=C(C1)C(C(O)=O)=C1C=CC=CC1=N2,1
CN1CCC2=C(C1)C(C(O)=O)=C1C=CC=CC1=N2,1
OC(=O)C1=C2CCCCCC2=NC2=CC=C(F)C=C12,1
OC(=O)C1=C2C=C(Br)C=CC2=NC2=C1CCCC2,1
NN=C(C(=O)C1=CC=C2CCC3=CC=CC1=C23)C1=CC=CC=C1,1
ON=C(C(=O)C1=CC=C2CCC3=C2C1=CC=C3)C1=CC=CC=C1,1
O=C(C1=CC=CC=C1)C1=CC=C2CCC3=C2C1=CC=C3,1
O=C(C(=O)C1=CC=C2CCC3=C2C1=CC=C3)C1=CC=CC=C1,1
OC(=O)C1=C2C=CC=C3CCC(C=C1)=C23,1
CC(=O)C1=C2C=CC=C3CCC(C=C1)=C23,1
